0,0.0506,0,0,0.0185,0.0018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.024,0,0.0459,0.0196,0.0311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0388,0,0.0194,0,0,0,0,0,0,0,0,0,0,0,0,0.052,0.0361,0,0
0,0.024,0.028,0,0.03,0,0,0.008,0,0,0.04,0.024,0,0,0,0.04,0.026,0,0,0
0.034,0.0431,0,0.034,0,0.0363,0,0.0454,0,0,0.0083,0,0,0,0,0,0,0,0,0
0.0037,0,0,0,0.04,0,0.0175,0.0162,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.0094,0,0.0229,0.0229,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0129,0.0645,0.0209,0.0548,0,0.0322,0.0225,0.0148,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0531,0,0,0.075,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0162,0.0558,0,0.0488,0.0302,0,0,0,0,0,0,0,0
0,0,0,0.08,0.0146,0,0,0.0192,0,0.084,0,0.096,0,0,0,0,0,0,0,0
0,0,0,0.0196,0,0,0,0,0,0.0213,0.0393,0,0.0393,0,0,0.0196,0.0073,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.0774,0,0.058,0.0028,0.0548,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.0529,0,0.0735,0.0029,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.0032,0.0925,0,0.0148,0,0,0,0.0555
0,0,0,0.0869,0,0,0,0,0,0,0,0.0521,0.0739,0.0043,0.0173,0,0.0956,0,0,0.0304
0,0,0.0379,0.0448,0,0,0,0,0,0,0,0.0155,0,0,0,0.0758,0,0.062,0.034,0.0448
0,0,0.0764,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0529,0,0.0764,0.0029
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0666,0,0.041
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0576,0.0269,0.05,0.0038,0.0615,0